Managed Fund Name,APIR,Fund Managers Name,URL
Dimensional Australian Small Company Trust DFA0104AU,DFA0104AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Global Large Company Trust DFA0105AU,DFA0105AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Global Small Company Trust DFA0106AU,DFA0106AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Emerging Markets Trust DFA0107AU,DFA0107AU,Dimensional Fund Advisors,https://au.dimensional.com/
Dimensional Five Year Diversified Fixed Interest DFA0108AU,DFA0108AU,Dimensional Fund Advisors,https://au.dimensional.com/
Ellerston Australian Market Neutral Fund ECL0013AU,ECL0013AU,Ellerston Capital,https://ellerstoncapital.com/
Aberdeen Standard Asian Opportunities Fund EQI0028AU,EQI0028AU,Aberdeen Standard,https://www.aberdeenstandard.com/
PIMCO Wholesale Australian Bond Fund ETL0015AU,ETL0015AU,PIMCO,https://www.pimco.com.au/en-au/
PIMCO Wholesale Diversified Fixed Interest Fund ETL0016AU,ETL0016AU,PIMCO,https://www.pimco.com.au/en-au/
PIMCO Wholesale Global Bond Fund ETL0018AU,ETL0018AU,PIMCO,https://www.pimco.com.au/en-au/
PIMCO Global Credit Fund – Wholesale Class ETL0019AU,ETL0019AU,PIMCO,https://www.pimco.com.au/en-au/
Aberdeen Standard Emerging Opportunities Fund ETL0032AU,ETL0032AU,Aberdeen Standard,https://www.aberdeenstandard.com/
MFS Fully Hedged Global Equity Trust ETL0041AU,ETL0041AU,MFS,https://www.mfs.com/en-au/
Allan Gray Australian Equities Fund (Class A) ETL0060AU,ETL0060AU,Allan Gray,https://www.allangray.com.au/
T.Rowe Price Global Equity Fund ETL0071AU,ETL0071AU,T Rowe Price,https://www.troweprice.com/financial-intermediary/au/en/home.html
Aberdeen Standard Global Absolute Return Strategies Fund ETL0130AU,ETL0130AU,Aberdeen Standard,https://www.aberdeenstandard.com/
Aberdeen Standard Absolute Return Global Bond Strategies Fund ETL0134AU,ETL0134AU,Aberdeen Standard,https://www.aberdeenstandard.com/
Partners Group Global Value Fund (AUD) Wholesale ETL0276AU,ETL0276AU,Partners Group,https://www.partnersgroupaustralia.com.au/
T. Rowe Price Global Equity (Hedged) Fund - I Class ETL0312AU,ETL0312AU,T Rowe Price,https://www.troweprice.com/financial-intermediary/au/en/home.html
Allan Gray Australian Equities Fund (Class B) ETL0349AU,ETL0349AU,Allan Gray,https://www.allangray.com.au/
Robeco Emerging Conservative Equity Fund (AUD) ETL0381AU,ETL0381AU,Robecco,https://www.robeco.com/au/
PIMCO Income Fund ETL0458AU,ETL0458AU,PIMCO,https://www.pimco.com.au/en-au/
Colchester Global Government Bond Fund Class I ETL5525AU,ETL5525AU,Colchester Global,https://colchesterglobal.com.au/
Redpoint Industrials Fund ETL7683AU,ETL7683AU,RedPoint,https://www.redpointim.com/
Fidelity Australian Equities Fund FID0008AU,FID0008AU,Fidelity,https://www.fidelity.com.au/
Fidelity Future Leaders Fund FID0026AU,FID0026AU,Fidelity,https://www.fidelity.com.au/
Franklin Templeton Global Aggregate Bond Fund FRT0025AU,FRT0025AU,Franklin Templeton,https://www.franklintempleton.com.au/
Colonial First State Wholesale Geared Share Fund FSF0043AU,FSF0043AU,Colonial First State,https://www.cfs.com.au/
Colonial First State Wholesale Global Credit Income Fund FSF0084AU,FSF0084AU,Colonial First State,https://www.cfs.com.au/
Generation Global Share Fund FSF0908AU,FSF0908AU,Colonial First State,https://www.cfs.com.au/
CFS Wholesale Equity Income Fund FSF1676AU,FSF1676AU,Colonial First State,https://www.cfs.com.au/
Grant Samuel Epoch Gl Eq Shareholder Yield (Hedged) Fund GSF0001AU,GSF0001AU,GSFM,https://www.gsfm.com.au/
Grant Samuel Epoch Global Equity Shareholder Yield Fund GSF0002AU,GSF0002AU,GSFM,https://www.gsfm.com.au/
Payden Global Income Opportunities Fund GSF0008AU,GSF0008AU,GSFM,https://www.gsfm.com.au/
Merlon Australian Share Income Fund HBC0011AU,HBC0011AU,Merlon,https://www.merloncapital.com.au/
Ironbark LHP Diversified Investment Fund HFL0104AU,HFL0104AU,Ironbark,https://ironbarkam.com/
Pengana WHEB Sustainable Impact Fund HHA0007AU,HHA0007AU,Pengana,https://pengana.com/
UBS Clarion Global Property Securities Fund HML0016AU,HML0016AU,UBS,https://www.ubs.com/au/en.html
Wavestone Wholesale Australian Share Fund HOW0020AU,HOW0020AU,Wavestone Capital,https://www.wavestonecapital.com.au/
Alphinity Concentrated Australian Share Fund HOW0026AU,HOW0026AU,Alphinity,https://www.alphinity.com.au/
Kapstream Wholesale Absolute Return Income Fund HOW0052AU,HOW0052AU,Kapstream Capital,https://kapstream.com/
Wavestone Dynamic Australian Equity Fund HOW0053AU,HOW0053AU,Wavestone Capital,https://www.wavestonecapital.com.au/
Ardea Real Outcome Fund HOW0098AU,HOW0098AU,Ardea,https://www.ardea.com.au/
Alphinity Sustainable Share Fund HOW0121AU,HOW0121AU,Alphinity,https://www.alphinity.com.au/
Alphinity Global Equity Fund HOW0164AU,HOW0164AU,Alphinity,https://www.alphinity.com.au/
Lennox Australian Small Companies Fund HOW3590AU,HOW3590AU,Lennox,https://www.lennoxcapitalpartners.com.au/
Investors Mutual Australian Share Fund IML0002AU,IML0002AU,Investors Mutual,https://iml.com.au/
Investors Mutual Future Leaders Fund IML0003AU,IML0003AU,Investors Mutual,https://iml.com.au/
Investors Mutual Equity Income Fund IML0005AU,IML0005AU,Investors Mutual,https://iml.com.au/
Investors Mutual Concentrated Australian Share Fund IML0010AU,IML0010AU,Investors Mutual,https://iml.com.au/
Antipodes Global Fund IOF0045AU,IOF0045AU,Antipodes Partners,https://antipodespartners.com/
Janus Henderson Tactical Income Fund IOF0145AU,IOF0145AU,Janus Henderson,https://www.janushenderson.com/
Antipodes Asia Fund IOF0203AU,IOF0203AU,Antipodes Partners,https://antipodespartners.com/
Perennial Value Smaller Companies Trust IOF0214AU,IOF0214AU,Perennial,https://perennial.net.au/
